timestamp_ms,timestamp_iso,source_cdt,active_provider,on_fallback,coverage_pct,phase,accuracy,latency_ms,reliability,freshness_ms,degraded
1775039722289,2026-04-01T12:35:22+02:00,cdt1,idt1a,0,0.2,exploring,0.95,12,0.97,0,0
1775039727294,2026-04-01T12:35:27+02:00,cdt1,idt1a,0,0.35,hazard_scan,0.95,1,0.97,0,0
1775039732277,2026-04-01T12:35:32+02:00,cdt1,idt1a,0,0.65,hazard_scan,0.95,12,0.97,0,0
1775039737293,2026-04-01T12:35:37+02:00,cdt1,idt1a,0,0.95,hazard_scan,0.95,1,0.97,0,0
1775039741544,2026-04-01T12:35:41+02:00,cdt1,idt1a,0,1.1,hazard_scan,0.95,1,0.97,0,0
1775039746564,2026-04-01T12:35:46+02:00,cdt1,idt1a,0,1.4,hazard_scan,0.95,1,0.97,1,0
1775039751556,2026-04-01T12:35:51+02:00,cdt1,idt1a,0,1.7,hazard_scan,0.95,1,0.97,0,0
1775039756563,2026-04-01T12:35:56+02:00,cdt1,idt1a,0,1.85,hazard_scan,0.95,1,0.97,0,0
1775039761541,2026-04-01T12:36:01+02:00,cdt1,idt1a,0,2.15,clearance,0.95,1,0.97,0,0
1775039766551,2026-04-01T12:36:06+02:00,cdt1,idt1a,0,2.45,clearance,0.95,1,0.97,0,0
1775039771547,2026-04-01T12:36:11+02:00,cdt1,idt1a,0,2.6,clearance,0.95,1,0.97,0,0
1775039775815,2026-04-01T12:36:15+02:00,cdt1,idt1a,0,2.9,clearance,0.95,12,0.97,0,0
1775039780827,2026-04-01T12:36:20+02:00,cdt1,idt1a,0,3.2,clearance,0.95,1,0.97,0,0
1775039785812,2026-04-01T12:36:25+02:00,cdt1,idt1a,0,3.35,clearance,0.95,1,0.97,0,0
1775039790830,2026-04-01T12:36:30+02:00,cdt1,idt1a,0,3.65,clearance,0.95,1,0.97,1,0
1775039795831,2026-04-01T12:36:35+02:00,cdt1,idt1a,0,3.95,clearance,0.95,1,0.97,0,0
1775039800817,2026-04-01T12:36:40+02:00,cdt1,idt1a,0,4.1,clearance,0.95,1,0.97,0,0
1775039805094,2026-04-01T12:36:45+02:00,cdt1,idt1a,0,4.4,clearance,0.95,1,0.97,0,0
1775039810094,2026-04-01T12:36:50+02:00,cdt1,idt1a,0,4.7,clearance,0.95,1,0.97,0,0
1775039815091,2026-04-01T12:36:55+02:00,cdt1,idt1a,0,4.85,clearance,0.95,12,0.97,0,0
1775039820101,2026-04-01T12:37:00+02:00,cdt1,idt1a,0,5.15,clearance,0.95,1,0.97,0,0
1775039825086,2026-04-01T12:37:05+02:00,cdt1,idt1a,0,5.45,verifying,0.95,1,0.97,0,0
1775138919578,2026-04-02T16:08:39+02:00,cdt1,idt1a,0,0,exploring,0.95,12,0.97,0,0
1775138924586,2026-04-02T16:08:44+02:00,cdt1,idt1a,0,0.1,hazard_scan,0.95,1,0.97,1,0
1775167376651,2026-04-03T00:02:56+02:00,cdt1,idt1a,0,0.15,exploring,0.95,1,0.97,1,0
1775167381662,2026-04-03T00:03:01+02:00,cdt1,idt1a,0,0.3,hazard_scan,0.95,1,0.97,0,0
1775167401640,2026-04-03T00:03:21+02:00,cdt1,idt1a,0,0.2,exploring,0.95,1,0.97,1,0
1775167405703,2026-04-03T00:03:25+02:00,cdt1,idt1a,0,0.5,hazard_scan,0.95,1,0.97,1,0
1775167410706,2026-04-03T00:03:30+02:00,cdt1,idt1a,0,0.65,hazard_scan,0.95,1,0.97,0,0
1775167415703,2026-04-03T00:03:35+02:00,cdt1,idt1a,0,0.95,hazard_scan,0.95,1,0.97,1,0
1775167420705,2026-04-03T00:03:40+02:00,cdt1,idt1a,0,1.25,hazard_scan,0.95,1,0.97,0,0
1775167425703,2026-04-03T00:03:45+02:00,cdt1,idt1a,0,1.4,hazard_scan,0.95,12,0.97,0,0
1775167430704,2026-04-03T00:03:50+02:00,cdt1,idt1a,0,1.7,hazard_scan,0.95,12,0.97,0,0
1775167435705,2026-04-03T00:03:55+02:00,cdt1,idt1a,0,2,clearance,0.95,12,0.97,0,0
1775167439814,2026-04-03T00:03:59+02:00,cdt1,idt1a,0,2.15,clearance,0.95,1,0.97,0,0
1775167444802,2026-04-03T00:04:04+02:00,cdt1,idt1a,0,2.45,clearance,0.95,12,0.97,0,0
1775167449801,2026-04-03T00:04:09+02:00,cdt1,idt1a,0,2.75,clearance,0.95,1,0.97,0,0
1775167454802,2026-04-03T00:04:14+02:00,cdt1,idt1a,0,2.9,clearance,0.95,12,0.97,0,0
1775167459805,2026-04-03T00:04:19+02:00,cdt1,idt1a,0,3.2,clearance,0.95,1,0.97,0,0
1775167464788,2026-04-03T00:04:24+02:00,cdt1,idt1a,0,3.5,clearance,0.95,1,0.97,0,0
1775167468877,2026-04-03T00:04:28+02:00,cdt1,idt1a,0,3.65,clearance,0.95,1,0.97,0,0
1775167473875,2026-04-03T00:04:33+02:00,cdt1,idt1a,0,3.95,clearance,0.95,1,0.97,0,0
1775167478881,2026-04-03T00:04:38+02:00,cdt1,idt1a,0,4.25,clearance,0.95,12,0.97,0,0
