timestamp_ms,timestamp_iso,active_provider,on_fallback,coverage_pct,area_sqm,active_robots,accuracy,latency_ms,reliability,freshness_ms,degraded
1774896170981,2026-03-30T20:42:50+02:00,idt1a,0,0,0,2,0.95,2,0.97,0,0
1774896173980,2026-03-30T20:42:53+02:00,idt1a,0,0,0,2,0.95,1,0.97,0,0
1774896176989,2026-03-30T20:42:56+02:00,idt1a,0,0,0,2,0.95,12,0.97,0,0
1774896179974,2026-03-30T20:42:59+02:00,idt1a,0,0,0,2,0.95,12,0.97,0,0
1774896181940,2026-03-30T20:43:01+02:00,idt1a,0,0,0,2,0.95,1,0.97,0,0
1774896184970,2026-03-30T20:43:04+02:00,idt1a,0,0,0,2,0.95,12,0.97,0,0
1774896187940,2026-03-30T20:43:07+02:00,idt1a,0,0,0,2,0.95,1,0.97,0,0
1774896190938,2026-03-30T20:43:10+02:00,idt1a,0,0,0,2,0.95,12,0.97,0,0
1774896193942,2026-03-30T20:43:13+02:00,idt1a,0,0,0,2,0.95,12,0.97,0,0
1774896196941,2026-03-30T20:43:16+02:00,idt1a,0,0,0,2,0.95,1,0.97,0,0
1774896199949,2026-03-30T20:43:19+02:00,idt1a,0,0,0,2,0.95,1,0.97,0,0
1774896202939,2026-03-30T20:43:22+02:00,idt1a,0,0,0,2,0.95,12,0.97,0,0
1774896205941,2026-03-30T20:43:25+02:00,idt1a,0,0,0,2,0.95,12,0.97,0,0
1774896208953,2026-03-30T20:43:28+02:00,idt1a,0,0,0,2,0.95,1,0.97,0,0
1774896211943,2026-03-30T20:43:31+02:00,idt1a,0,0,0,2,0.95,1,0.97,0,0
1774896213904,2026-03-30T20:43:33+02:00,idt1a,0,0,0,2,0.95,12,0.97,0,0
1774896216922,2026-03-30T20:43:36+02:00,idt1a,0,0,0,2,0.95,1,0.97,0,0
1774896219905,2026-03-30T20:43:39+02:00,idt1a,0,0,0,2,0.95,12,0.97,0,0
1774896222901,2026-03-30T20:43:42+02:00,idt1a,0,0,0,2,0.95,12,0.97,0,0
1774896225905,2026-03-30T20:43:45+02:00,idt1a,0,0,0,2,0.95,1,0.97,0,0
1774896228904,2026-03-30T20:43:48+02:00,idt1a,0,0,0,2,0.95,12,0.97,0,0
1774896231905,2026-03-30T20:43:51+02:00,idt1a,0,0,0,2,0.95,1,0.97,0,0
1774896234909,2026-03-30T20:43:54+02:00,idt1a,0,0,0,2,0.95,1,0.97,0,0
1774896237901,2026-03-30T20:43:57+02:00,idt1a,0,0,0,2,0.95,12,0.97,0,0
